PokemonA,TypeA1,TypeA2,PokemonB,TypeB1,TypeB2,Winner
Hisuian Electrode,Electric,Grass,Litwick,Ghost,Fire,
Exeggcute,Grass,Psychic,Lampent,Ghost,Fire,
Exeggutor,Grass,Psychic,Chandelure,Ghost,Fire,
Alolan Exeggutor,Grass,Dragon,Axew,Dragon,,
Cubone,Ground,,Fraxure,Dragon,,
Marowak,Ground,,Haxorus,Dragon,,
Alolan Marowak,Fire,Ghost,Cubchoo,Ice,,
Hitmonlee,Fighting,,Beartic,Ice,,
Hitmonchan,Fighting,,Cryogonal,Ice,,
Lickitung,Normal,,Shelmet,Bug,,
Koffing,Poison,,Accelgor,Bug,,
Weezing,Poison,,Stunfisk,Ground,Electric,
Galarian Weezing,Poison,Fairy,Galarian Stunfisk,Ground,Steel,
Rhyhorn,Ground,Rock,Mienfoo,Fighting,,
Rhydon,Ground,Rock,Mienshao,Fighting,,
Chansey,Normal,,Druddigon,Dragon,,
Tangela,Grass,,Golett,Ground,Ghost,
Kangaskhan,Normal,,Golurk,Ground,Ghost,
Mega Kangaskhan,Normal,,Pawniard,Dark,Steel,
Horsea,Water,,Bisharp,Dark,Steel,
Seadra,Water,,Bouffalant,Normal,,
Goldeen,Water,,Rufflet,Normal,Flying,
Seaking,Water,,Braviary,Normal,Flying,
Staryu,Water,,Hisuian Braviary,Psychic,Flying,
Starmie,Water,Psychic,Vullaby,Dark,Flying,
Mr. Mime,Psychic,Fairy,Mandibuzz,Dark,Flying,
Galarian Mr. Mime,Ice,Psychic,Heatmor,Fire,,
Scyther,Bug,Flying,Durant,Bug,Steel,
Jynx,Ice,Psychic,Deino,Dark,Dragon,
Electabuzz,Electric,,Zweilous,Dark,Dragon,
Magmar,Fire,,Hydreigon,Dark,Dragon,
Pinsir,Bug,,Larvesta,Bug,Fire,
Mega Pinsir,Bug,Flying,Volcarona,Bug,Fire,
Tauros,Normal,,Cobalion,Steel,Fighting,
Paldean Tauros Combat Breed,Fighting,,Terrakion,Rock,Fighting,
Paldean Tauros Blaze Breed,Fighting,Fire,Virizion,Grass,Fighting,
Paldean Tauros Aqua Breed,Fighting,Water,Tornadus Incarnate Form,Flying,,
Magikarp,Water,,Tornadus Therian Form,Flying,,
Gyarados,Water,Flying,Thundurus Incarnate Form,Electric,Flying,
Mega Gyarados,Water,Dark,Thundurus Therian Form,Electric,Flying,
Lapras,Water,Ice,Reshiram,Dragon,Fire,
Ditto,Normal,,Zekrom,Dragon,Electric,
Eevee,Normal,,Landorus Incarnate Form,Ground,Flying,
Vaporeon,Water,,Landorus Therian Form,Ground,Flying,
Jolteon,Electric,,Kyurem,Dragon,Ice,
Flareon,Fire,,White Kyurem,Dragon,Ice,
Porygon,Normal,,Black Kyurem,Dragon,Ice,
Omanyte,Rock,Water,Keldeo Ordinary Form,Water,Fighting,
Omastar,Rock,Water,Keldeo Resolute Form,Water,Fighting,
Kabuto,Rock,Water,Meloetta Aria Form,Normal,Psychic,
Kabutops,Rock,Water,Meloetta Pirouette Form,Normal,Fighting,
Aerodactyl,Rock,Flying,Genesect,Bug,Steel,
Mega Aerodactyl,Rock,Flying,Chespin,Grass,,
Snorlax,Normal,,Quilladin,Grass,,
Articuno,Ice,Flying,Chesnaught,Grass,Fighting,
Galarian Articuno,Psychic,Flying,Fennekin,Fire,,
Zapdos,Electric,Flying,Braixen,Fire,,
Galarian Zapdos,Fighting,Flying,Delphox,Fire,Psychic,
Moltres,Fire,Flying,Froakie,Water,,
Galarian Moltres,Dark,Flying,Frogadier,Water,,
Dratini,Dragon,,Greninja,Water,Dark,
Dragonair,Dragon,,Ash Greninja,Water,Dark,
Dragonite,Dragon,Flying,Bunnelby,Normal,,
Mewtwo,Psychic,,Diggersby,Normal,Ground,
Mega Mewtwo X,Psychic,Fighting,Fletchling,Normal,Flying,
Mega Mewtwo Y,Psychic,,Fletchinder,Fire,Flying,
Mew,Psychic,,Talonflame,Fire,Flying,
Chikorita,Grass,,Scatterbug,Bug,,
Bayleef,Grass,,Spewpa,Bug,,
Meganium,Grass,,Vivillon,Bug,Flying,
Cyndaquil,Fire,,Litleo,Fire,Normal,
Quilava,Fire,,Pyroar,Fire,Normal,
Typhlosion,Fire,,Flabebe,Fairy,,
Hisuian Typhlosion,Fire,Ghost,Floette,Fairy,,
Totodile,Water,,Florges,Fairy,,
Croconaw,Water,,Skiddo,Grass,,
Feraligatr,Water,,Gogoat,Grass,,
Sentret,Normal,,Pancham,Fighting,,
Furret,Normal,,Pangoro,Fighting,Dark,
Hoothoot,Normal,Flying,Furfrou,Normal,,
Noctowl,Normal,Flying,Espurr,Psychic,,
Ledyba,Bug,Flying,Meowstic Male,Psychic,,
Ledian,Bug,Flying,Meowstic Female,Psychic,,
Spinarak,Bug,Poison,Honedge,Steel,Ghost,
Ariados,Bug,Poison,Doublade,Steel,Ghost,
Crobat,Poison,Flying,Aegislash Shield Form,Steel,Ghost,
Chinchou,Water,Electric,Aegislash Blade Form,Steel,Ghost,
Lanturn,Water,Electric,Spritzee,Fairy,,
Pichu,Electric,,Aromatisse,Fairy,,
Cleffa,Fairy,,Swirlix,Fairy,,
Igglybuff,Normal,Fairy,Slurpuff,Fairy,,
Togepi,Fairy,,Inkay,Dark,Psychic,
Togetic,Fairy,Flying,Malamar,Dark,Psychic,
Natu,Psychic,Flying,Binacle,Rock,Water,
Xatu,Psychic,Flying,Barbaracle,Rock,Water,
Mareep,Electric,,Skrelp,Poison,Water,
Flaaffy,Electric,,Dragalge,Poison,Dragon,
Ampharos,Electric,,Clauncher,Water,,
Mega Ampharos,Electric,Dragon,Clawitzer,Water,,
Bellossom,Grass,,Helioptile,Electric,Normal,
Marill,Water,Fairy,Heliolisk,Electric,Normal,
Azumarill,Water,Fairy,Tyrunt,Rock,Dragon,
Sudowoodo,Rock,,Tyrantrum,Rock,Dragon,
Politoed,Water,,Amaura,Rock,Ice,
Hoppip,Grass,Flying,Aurorus,Rock,Ice,
Skiploom,Grass,Flying,Sylveon,Fairy,,
Jumpluff,Grass,Flying,Hawlucha,Fighting,Flying,
Aipom,Normal,,Dedenne,Electric,Fairy,
Sunkern,Grass,,Carbink,Rock,Fairy,
Sunflora,Grass,,Goomy,Dragon,,
Yanma,Bug,Flying,Sliggoo,Dragon,,
Paldean Wooper,Poison,Ground,Hisuian Sliggoo,Steel,Dragon,
Wooper,Water,Ground,Goodra,Dragon,,
Quagsire,Water,Ground,Hisuian Goodra,Steel,Dragon,
Espeon,Psychic,,Klefki,Steel,Fairy,
Umbreon,Dark,,Phantump,Ghost,Grass,
Murkrow,Dark,Flying,Trevenant,Ghost,Grass,
Slowking,Water,Psychic,Pumpkaboo Small,Ghost,Grass,
Galarian Slowking,Poison,Psychic,Pumpkaboo Average,Ghost,Grass,
Misdreavus,Ghost,,Pumpkaboo Large,Ghost,Grass,
Unown,Psychic,,Pumpkaboo Super,Ghost,Grass,
Wobbuffet,Psychic,,Gourgeist Small,Ghost,Grass,
Girafarig,Normal,Psychic,Gourgeist Average,Ghost,Grass,
Pineco,Bug,,Gourgeist Large,Ghost,Grass,
Forretress,Bug,Steel,Gourgeist Super,Ghost,Grass,
Dunsparce,Normal,,Bergmite,Ice,,
Gligar,Ground,Flying,Avalugg,Ice,,
Steelix,Steel,Ground,Hisuian Avalugg,Ice,Rock,
Mega Steelix,Steel,Ground,Noibat,Flying,Dragon,
Snubbull,Fairy,,Noivern,Flying,Dragon,
Granbull,Fairy,,Xerneas,Fairy,,
Qwilfish,Water,Poison,Yveltal,Dark,Flying,
Hisuian Qwilfish,Dark,Poison,Zygarde 50% Form,Dragon,Ground,
Scizor,Bug,Steel,Zygarde 10% Form,Dragon,Ground,
Mega Scizor,Bug,Steel,Zygarde Complete Form,Dragon,Ground,
Shuckle,Bug,Rock,Diancie,Rock,Fairy,
Heracross,Bug,Fighting,Mega Diancie,Rock,Fairy,
Mega Heracross,Bug,Fighting,Confined Hoopa,Psychic,Ghost,
Sneasel,Dark,Ice,Unbound Hoopa,Psychic,Dark,
Hisuian Sneasel,Fighting,Poison,Volcanion,Fire,Water,
Teddiursa,Normal,,Rowlet,Grass,Flying,
Ursaring,Normal,,Dartrix,Grass,Flying,
Slugma,Fire,,Decidueye,Grass,Ghost,
Magcargo,Fire,Rock,Hisuian Decidueye,Grass,Fighting,
Swinub,Ice,Ground,Litten,Fire,,
Piloswine,Ice,Ground,Torracat,Fire,,
Corsola,Water,Rock,Incineroar,Fire,Dark,
Galarian Corsola,Ghost,,Popplio,Water,,
Remoraid,Water,,Brionne,Water,,
Octillery,Water,,Primarina,Water,Fairy,
Delibird,Ice,Flying,Pikipek,Normal,Flying,
Mantine,Water,Flying,Trumbeak,Normal,Flying,
Skarmory,Steel,Flying,Toucannon,Normal,Flying,
Houndour,Dark,Fire,Yungoos,Normal,,
Houndoom,Dark,Fire,Gumshoos,Normal,,
Mega Houndoom,Dark,Fire,Grubbin,Bug,,
Kingdra,Water,Dragon,Charjabug,Bug,Electric,
Phanpy,Ground,,Vikavolt,Bug,Electric,
Donphan,Ground,,Crabrawler,Fighting,,
Porygon2,Normal,,Crabominable,Fighting,Ice,
Stantler,Normal,,Oricorio Baile Style,Fire,Flying,
Smeargle,Normal,,Oricorio Pom-Pom Style,Electric,Flying,
Tyrogue,Fighting,,Oricorio Pa'u Style,Psychic,Flying,
Hitmontop,Fighting,,Oricorio Sensu Style,Ghost,Flying,
Smoochum,Ice,Psychic,Cutiefly,Bug,Fairy,
Elekid,Electric,,Ribombee,Bug,Fairy,
Magby,Fire,,Rockruff,Rock,,
Miltank,Normal,,Lycanroc Midday Form,Rock,,
Blissey,Normal,,Lycanroc Midnight Form,Rock,,
Raikou,Electric,,Lycanroc Dusk Form,Rock,,
Entei,Fire,,Wishiwashi Solo Form,Water,,
Suicune,Water,,Wishiwashi School Form,Water,,
Larvitar,Rock,Ground,Mareanie,Poison,Water,
Pupitar,Rock,Ground,Toxapex,Poison,Water,
Tyranitar,Rock,Dark,Mudbray,Ground,,
Mega Tyranitar,Rock,Dark,Mudsdale,Ground,,
Lugia,Psychic,Flying,Dewpider,Water,Bug,
Ho-Oh,Fire,Flying,Araquanid,Water,Bug,
Celebi,Psychic,Grass,Fomantis,Grass,,
Treecko,Grass,,Lurantis,Grass,,
Grovyle,Grass,,Morelull,Grass,Fairy,
Sceptile,Grass,,Shiinotic,Grass,Fairy,
Mega Sceptile,Grass,Dragon,Salandit,Poison,Fire,
Torchic,Fire,,Salazzle,Poison,Fire,
Combusken,Fire,Fighting,Stufful,Normal,Fighting,
Blaziken,Fire,Fighting,Bewear,Normal,Fighting,
Mega Blaziken,Fire,Fighting,Bounsweet,Grass,,
Mudkip,Water,,Steenee,Grass,,
Marshtomp,Water,Ground,Tsareena,Grass,,
Swampert,Water,Ground,Comfey,Fairy,,
Mega Swampert,Water,Ground,Oranguru,Normal,Psychic,
Poochyena,Dark,,Passimian,Fighting,,
Mightyena,Dark,,Wimpod,Bug,Water,
Zigzagoon,Normal,,Golisopod,Bug,Water,
Galarian Zigzagoon,Dark,Normal,Sandygast,Ghost,Ground,
Linoone,Normal,,Palossand,Ghost,Ground,
Galarian Linoone,Dark,Normal,Pyukumuku,Water,,
Wurmple,Bug,,Type: Null,Normal,,
Silcoon,Bug,,Silvally,Normal,,
Beautifly,Bug,Flying,Minior Meteor Form,Rock,Flying,
Cascoon,Bug,,Minior Red Core,Rock,Flying,
Dustox,Bug,Poison,Minior Orange Core,Rock,Flying,
Lotad,Water,Grass,Minior Yellow Core,Rock,Flying,
Lombre,Water,Grass,Minior Green Core,Rock,Flying,
Ludicolo,Water,Grass,Minior Blue Core,Rock,Flying,
Seedot,Grass,,Minior Indigo Core,Rock,Flying,
Nuzleaf,Grass,Dark,Minior Purple Core,Rock,Flying,
Shiftry,Grass,Dark,Komala,Normal,,
Taillow,Normal,Flying,Turtonator,Fire,Dragon,
Swellow,Normal,Flying,Togedemaru,Electric,Steel,
Wingull,Water,Flying,Mimikyu,Ghost,Fairy,
Pelipper,Water,Flying,Bruxish,Water,Psychic,
Ralts,Psychic,Fairy,Drampa,Normal,Dragon,
Kirlia,Psychic,Fairy,Dhelmise,Ghost,Grass,
Gardevoir,Psychic,Fairy,Jangmo-o,Dragon,,
Mega Gardevoir,Psychic,Fairy,Hakamo-o,Dragon,Fighting,
Surskit,Bug,Water,Kommo-o,Dragon,Fighting,
Masquerain,Bug,Flying,Tapu Koko,Electric,Fairy,
Shroomish,Grass,,Tapu Lele,Psychic,Fairy,
Breloom,Grass,Fighting,Tapu Bulu,Grass,Fairy,
Slakoth,Normal,,Tapu Fini,Water,Fairy,
Vigoroth,Normal,,Cosmog,Psychic,,
Slaking,Normal,,Cosmoem,Psychic,,
Nincada,Bug,Ground,Solgaleo,Psychic,Steel,
Ninjask,Bug,Flying,Lunala,Psychic,Ghost,
Shedinja,Bug,Ghost,Nihilego,Rock,Poison,
Whismur,Normal,,Buzzwole,Bug,Fighting,
Loudred,Normal,,Pheromosa,Bug,Fighting,
Exploud,Normal,,Xurkitree,Electric,,
Makuhita,Fighting,,Celesteela,Steel,Flying,
Hariyama,Fighting,,Kartana,Grass,Steel,
Azurill,Normal,Fairy,Guzzlord,Dark,Dragon,
Nosepass,Rock,,Necrozma,Psychic,,
Skitty,Normal,,Dusk Mane Necrozma,Psychic,Steel,
Delcatty,Normal,,Dawn Wings Necrozma,Psychic,Ghost,
Sableye,Dark,Ghost,Ultra Necrozma,Psychic,Dragon,
Mega Sableye,Dark,Ghost,Magearna,Steel,Fairy,
Mawile,Steel,Fairy,Marshadow,Fighting,Ghost,
Mega Mawile,Steel,Fairy,Poipole,Poison,,
Aron,Steel,Rock,Naganadel,Poison,Dragon,
Lairon,Steel,Rock,Stakataka,Rock,Steel,
Aggron,Steel,Rock,Blacephalon,Fire,Ghost,
Mega Aggron,Steel,,Zeraora,Electric,,
Meditite,Fighting,Psychic,Meltan,Steel,,
Medicham,Fighting,Psychic,Melmetal,Steel,,
Mega Medicham,Fighting,Psychic,Grookey,Grass,,
Electrike,Electric,,Thwackey,Grass,,
Manectric,Electric,,Rillaboom,Grass,,
Mega Manectric,Electric,,Scorbunny,Fire,,
Plusle,Electric,,Raboot,Fire,,
Minun,Electric,,Cinderace,Fire,,
Volbeat,Bug,,Sobble,Water,,
Illumise,Bug,,Drizzile,Water,,
Roselia,Grass,Poison,Inteleon,Water,,
Gulpin,Poison,,Skwovet,Normal,,
Swalot,Poison,,Greedent,Normal,,
Carvanha,Water,Dark,Rookidee,Flying,,
Sharpedo,Water,Dark,Corvisquire,Flying,,
Mega Sharpedo,Water,Dark,Corviknight,Flying,Steel,
Wailmer,Water,,Blipbug,Bug,,
Wailord,Water,,Dottler,Bug,Psychic,
Numel,Fire,Ground,Orbeetle,Bug,Psychic,
Camerupt,Fire,Ground,Nickit,Dark,,
Mega Camerupt,Fire,Ground,Thievul,Dark,,
Torkoal,Fire,,Gossifleur,Grass,,
Spoink,Psychic,,Eldegoss,Grass,,
Grumpig,Psychic,,Wooloo,Normal,,
Spinda,Normal,,Dubwool,Normal,,
Trapinch,Ground,,Chewtle,Water,,
Vibrava,Ground,Dragon,Drednaw,Water,Rock,
Flygon,Ground,Dragon,Yamper,Electric,,
Cacnea,Grass,,Boltund,Electric,,
Cacturne,Grass,Dark,Rolycoly,Rock,,
Swablu,Normal,Flying,Carkol,Rock,Fire,
Altaria,Dragon,Flying,Coalossal,Rock,Fire,
Mega Altaria,Dragon,Fairy,Applin,Grass,Dragon,
Zangoose,Normal,,Flapple,Grass,Dragon,
Seviper,Poison,,Appletun,Grass,Dragon,
Lunatone,Rock,Psychic,Silicobra,Ground,,
Solrock,Rock,Psychic,Sandaconda,Ground,,
Barboach,Water,Ground,Cramorant,Flying,Water,
Whiscash,Water,Ground,Arrokuda,Water,,
Corphish,Water,,Barraskewda,Water,,
Crawdaunt,Water,Dark,Toxel,Electric,Poison,
Baltoy,Ground,Psychic,Toxtricity Amped Form,Electric,Poison,
Claydol,Ground,Psychic,Toxtricity Low-Key Form,Electric,Poison,
Lileep,Rock,Grass,Sizzlipede,Fire,Bug,
Cradily,Rock,Grass,Centiskorch,Fire,Bug,
Anorith,Rock,Bug,Clobbopus,Fighting,,
Armaldo,Rock,Bug,Grapploct,Fighting,,
Feebas,Water,,Sinistea,Ghost,,
Milotic,Water,,Polteageist,Ghost,,
Castform,Normal,,Hatenna,Psychic,,
Castform Sunny Form,Normal,,Hattrem,Psychic,,
Castform Rainy Form,Normal,,Hatterene,Psychic,Fairy,
Castform Snowy Form,Normal,,Impidimp,Dark,Fairy,
Kecleon,Normal,,Morgrem,Dark,Fairy,
Shuppet,Ghost,,Grimmsnarl,Dark,Fairy,
Banette,Ghost,,Obstagoon,Dark,Normal,
Mega Banette,Ghost,,Perrserker,Steel,,
Duskull,Ghost,,Cursola,Ghost,,
Dusclops,Ghost,,Sirfetch'd,Fighting,,
Tropius,Grass,Flying,Mr. Rime,Ice,Psychic,
Chimecho,Psychic,,Runerigus,Ground,Ghost,
Absol,Dark,,Milcery,Fairy,,
Mega Absol,Dark,,Alcremie,Fairy,,
Wynaut,Psychic,,Falinks,Fighting,,
Snorunt,Ice,,Pincurchin,Electric,,
Glalie,Ice,,Snom,Ice,Bug,
Mega Glalie,Ice,,Frosmoth,Ice,Bug,
Spheal,Ice,Water,Stonjourner,Rock,,
Sealeo,Ice,Water,Eiscue Ice Face,Ice,,
Walrein,Ice,Water,Eiscue Noice Face,Ice,,
Clamperl,Water,,Indeedee Male,Psychic,Normal,
Huntail,Water,,Indeedee Female,Psychic,Normal,
Gorebyss,Water,,Morpeko Full Berry Mode,Electric,Dark,
Relicanth,Water,Rock,Morpeko Hangry Mode,Electric,Dark,
Luvdisc,Water,,Cufant,Steel,,
Bagon,Dragon,,Copperajah,Steel,,
Shelgon,Dragon,,Dracozolt,Electric,Dragon,
Salamence,Dragon,Flying,Arctozolt,Electric,Ice,
Mega Salamence,Dragon,Flying,Dracovish,Water,Dragon,
Beldum,Steel,Psychic,Arctovish,Water,Ice,
Metang,Steel,Psychic,Duraludon,Steel,Dragon,
Metagross,Steel,Psychic,Dreepy,Dragon,Ghost,
Mega Metagross,Steel,Psychic,Drakloak,Dragon,Ghost,
Regirock,Rock,,Dragapult,Dragon,Ghost,
Regice,Ice,,Zacian Hero of Many Battles,Fairy,,
Registeel,Steel,,Zacian Crowned Sword,Fairy,Steel,
Latias,Dragon,Psychic,Zamazenta Hero of Many Battles,Fighting,,
Mega Latias,Dragon,Psychic,Zamazenta Crowned Shield,Fighting,Steel,
Latios,Dragon,Psychic,Eternatus,Poison,Dragon,
Mega Latios,Dragon,Psychic,Eternamax Eternatus,Poison,Dragon,
Kyogre,Water,,Kubfu,Fighting,,
Primal Kyogre,Water,,Urshifu Single Strike Style,Fighting,Dark,
Groudon,Ground,,Urshifu Rapid Strike Style,Fighting,Water,
Primal Groudon,Ground,Fire,Zarude,Dark,Grass,
Rayquaza,Dragon,Flying,Regieleki,Electric,,
Mega Rayquaza,Dragon,Flying,Regidrago,Dragon,,
Jirachi,Steel,Psychic,Glastrier,Ice,,
Deoxys,Psychic,,Spectrier,Ghost,,
Deoxys Attack Form,Psychic,,Calyrex,Psychic,Grass,
Deoxys Defense Form,Psychic,,Calyrex Ice Rider,Psychic,Ice,
